Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
37, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
38, 6, 1, -0.0547, 0.4336, 0, 0, 6491, 38, 
38, 6, 2, -0.3164, 2.5098, 0, 0, 470, 27, 
38, 6, 3, 1.0059, 10.6855, 0, 0, 44, 17, 
38, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
38, 6, 5, -9.7266, 4.5371, 0, 0, 38, 16, 
38, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
39, 6, 1, -0.0547, 0.4336, 0, 0, 6502, 38, 
39, 6, 2, -0.3164, 2.5098, 0, 0, 467, 27, 
39, 6, 3, 1.0059, 10.6855, 0, 0, 43, 16, 
39, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
39, 6, 5, -9.3906, 5.1953, 0, 0, 38, 16, 
39, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
40, 6, 1, -0.0547, 0.4336, 0, 0, 6505, 38, 
40, 6, 2, -0.3164, 2.5098, 0, 0, 465, 27, 
40, 6, 3, 1.0059, 10.6855, 0, 0, 45, 17, 
40, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
40, 6, 5, -9.7266, 4.5371, 0, 0, 39, 16, 
40, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
41, 6, 1, -0.0547, 0.4336, 0, 0, 6561, 38, 
41, 6, 2, -0.3164, 2.5098, 0, 0, 444, 26, 
41, 6, 3, 1.0059, 10.6855, 0, 0, 44, 17, 
41, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
41, 6, 5, -9.3906, 5.1953, 0, 0, 39, 16, 
41, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
42, 6, 1, -0.0547, 0.4336, 0, 0, 6566, 38, 
42, 6, 2, -0.3164, 2.5098, 0, 0, 419, 26, 
42, 6, 3, 1.0059, 10.6855, 0, 0, 45, 17, 
42, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
42, 6, 5, -9.3906, 5.1953, 0, 0, 39, 16, 
42, 6, 6, -10.4297, 3.8711, 0, 0, 42, 16, 
43, 6, 1, -0.0547, 0.4336, 0, 0, 6566, 38, 
43, 6, 2, -0.3164, 2.5098, 0, 0, 434, 26, 
43, 6, 3, 1.0059, 10.6855, 0, 0, 44, 17, 
43, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
