Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log),
31, 5, 2, -0.0762, 2.4414, 0, 0, 194, 23, 
31, 5, 3, 1.9629, 2.4512, 0, 0, 307, 25, 
31, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
31, 5, 5, -0.5195, 5.5156, 0, 0, 19, 13, 
32, 5, 1, 0.5391, 0.793, 0, 0, 382, 26, 
32, 5, 2, -0.0762, 2.4414, 0, 0, 192, 23, 
32, 5, 3, 1.9629, 2.4512, 0, 0, 308, 25, 
32, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
32, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
33, 5, 1, 0.5391, 0.793, 0, 0, 380, 26, 
33, 5, 2, -0.0762, 2.4414, 0, 0, 193, 23, 
33, 5, 3, 1.9629, 2.4512, 0, 0, 306, 25, 
33, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
33, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
34, 5, 1, 0.5391, 0.793, 0, 0, 379, 26, 
34, 5, 2, -0.0762, 2.4414, 0, 0, 189, 23, 
34, 5, 3, 1.9629, 2.4512, 0, 0, 306, 25, 
34, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
34, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
35, 5, 1, 0.5391, 0.793, 0, 0, 376, 26, 
35, 5, 2, -0.0762, 2.4414, 0, 0, 195, 23, 
35, 5, 3, 1.9629, 2.4512, 0, 0, 306, 25, 
35, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
35, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
36, 5, 1, 0.5391, 0.793, 0, 0, 376, 26, 
36, 5, 2, -0.0762, 2.4414, 0, 0, 187, 23, 
36, 5, 3, 1.9629, 2.4512, 0, 0, 308, 25, 
36, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
36, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
37, 5, 1, 0.5391, 0.793, 0, 0, 374, 26, 
37, 5, 2, -0.0762, 2.4414, 0, 0, 184, 23, 
37, 5, 3, 1.9629, 2.4512, 0, 0, 307, 25, 
37, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
37, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
38, 5, 1, 0.5391, 0.793, 0, 0, 371, 26, 
38, 5, 2, -0.0762, 2.4414, 0, 0, 187, 23, 
38, 5, 3, 1.9629, 2.4512, 0, 0, 303, 25, 
38, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
38, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
39, 5, 1, 0.5391, 0.793, 0, 0, 365, 26, 
39, 5, 2, -0.0762, 2.4414, 0, 0, 176, 22, 
39, 5, 3, 1.9629, 2.4512, 0, 0, 295, 25, 
39, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
