Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
1700026281.6865249,31286,1700026281,644511744,sensor_wgs84,,0.0,0.0,0.0,0.6456354260444641,0.19623805582523346,0.23635484278202057,0.6991294622421265,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0000019756655565e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8962473275445634e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4034467390298236e-05)",0.0,0.0,0.0,-0.031880494207143784,-0.0064399102702736855,-0.004066538065671921,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.6866794,31287,1700026281,654521344,sensor_wgs84,,0.0,0.0,0.0,0.6455296874046326,0.1961672604084015,0.23634131252765656,0.6992515325546265,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0000019756655565e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8962473275445634e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4034467390298236e-05)",0.0,0.0,0.0,-0.03818495199084282,-0.01320679485797882,-0.0040946532972157,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.6867876,31288,1700026281,664532736,sensor_wgs84,,0.0,0.0,0.0,0.6453954577445984,0.19609355926513672,0.23631462454795837,0.6994050741195679,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0000019756655565e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8962473275445634e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4034467390298236e-05)",0.0,0.0,0.0,-0.04519853740930557,-0.01490739919245243,-0.010607926174998283,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.7305253,31289,1700026281,674546176,sensor_wgs84,,0.0,0.0,0.0,0.6452357172966003,0.19601838290691376,0.23626841604709625,0.6995890736579895,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0000019756655565e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8962473275445634e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4034467390298236e-05)",0.0,0.0,0.0,-0.05494742467999458,-0.015335915610194206,-0.016306331381201744,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.7306318,31290,1700026281,684556544,sensor_wgs84,,0.0,0.0,0.0,0.6450528502464294,0.1959642916917801,0.23621051013469696,0.6997924447059631,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0000019756655565e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8962473275445634e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4034467390298236e-05)",0.0,0.0,0.0,-0.05692683160305023,-0.013920532539486885,-0.020159531384706497,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.7306905,31291,1700026281,694568960,sensor_wgs84,,0.0,0.0,0.0,0.6448758840560913,0.19591929018497467,0.23613767325878143,0.6999927163124084,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0000019756655565e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8962473275445634e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4034467390298236e-05)",0.0,0.0,0.0,-0.04931895062327385,-0.016677536070346832,-0.022668853402137756,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.7307467,31292,1700026281,704582656,sensor_wgs84,,0.0,0.0,0.0,0.6447288990020752,0.19586387276649475,0.23606546223163605,0.7001678943634033,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0000019756655565e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8962473275445634e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4034467390298236e-05)",0.0,0.0,0.0,-0.043340638279914856,-0.015763821080327034,-0.008954567834734917,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.7308068,31293,1700026281,714596864,sensor_wgs84,,0.0,0.0,0.0,0.644622266292572,0.1957966536283493,0.23603713512420654,0.7002944350242615,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9955408492677938e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89253703137487e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.401073498727347e-05)",0.0,0.0,0.0,-0.030482232570648193,-0.012662460096180439,-0.0014380933716893196,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.7378767,31294,1700026281,724608000,sensor_wgs84,,0.0,0.0,0.0,0.644535481929779,0.19572500884532928,0.2360430508852005,0.7003923654556274,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9955408492677938e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89253703137487e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.401073498727347e-05)",0.0,0.0,0.0,-0.029140688478946686,-0.007265778258442879,0.006230673752725124,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.778542,31295,1700026281,734621184,sensor_wgs84,,0.0,0.0,0.0,0.6444621682167053,0.19563759863376617,0.23606455326080322,0.7004770040512085,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9955408492677938e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89253703137487e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.401073498727347e-05)",0.0,0.0,0.0,-0.023324228823184967,-0.011760696768760681,0.003617154899984598,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.7786343,31296,1700026281,744629760,sensor_wgs84,,0.0,0.0,0.0,0.6443978548049927,0.1955386847257614,0.2360757738351822,0.7005599737167358,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9955408492677938e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89253703137487e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.401073498727347e-05)",0.0,0.0,0.0,-0.027338296175003052,-0.020974386483430862,0.011370537802577019,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.7786937,31297,1700026281,754640896,sensor_wgs84,,0.0,0.0,0.0,0.6443372964859009,0.19543206691741943,0.23605024814605713,0.7006540298461914,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9955408492677938e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89253703137487e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.401073498727347e-05)",0.0,0.0,0.0,-0.023695267736911774,-0.02056524157524109,0.0026172976940870285,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.822448,31298,1700026281,764654080,sensor_wgs84,,0.0,0.0,0.0,0.6442933678627014,0.19532868266105652,0.2359735518693924,0.7007491588592529,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9955408492677938e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89253703137487e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.401073498727347e-05)",0.0,0.0,0.0,-0.018569134175777435,-0.027921132743358612,-0.006224917247891426,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.822515,31299,1700026281,774664448,sensor_wgs84,,0.0,0.0,0.0,0.6442667245864868,0.19523324072360992,0.23587007820606232,0.700835108757019,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9955408492677938e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89253703137487e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.401073498727347e-05)",0.0,0.0,0.0,-0.012573052197694778,-0.029722344130277634,-0.006530004553496838,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.8226004,31300,1700026281,784677376,sensor_wgs84,,0.0,0.0,0.0,0.644263505935669,0.1951509565114975,0.2357737272977829,0.7008933424949646,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9955408492677938e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89253703137487e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.401073498727347e-05)",0.0,0.0,0.0,-0.00794152170419693,-0.02270101197063923,-0.005024873651564121,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026281.8227131,31301,1700026281,794689792,sensor_wgs84,,0.0,0.0,0.0,0.6442598104476929,0.1950865536928177,0.2356913983821869,0.7009423971176147,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9955408492677938e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89253703137487e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.401073498727347e-05)",0.0,0.0,0.0,-0.004875045269727707,-0.019514355808496475,-0.0074027348309755325,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
